user_id, user_name, screen_name, status_id, created_at, time_integer, reply_num, retweet_num, favorite_num, content 
123417995, ESPNNFL, NFL on ESPN, 1209335818533429248, 8:51 PM - 23 Dec 2019， 1577163102000， 90， 4.9K， 27K， Beast Mode pulling up to Seattle like ...  pic.twitter.com/AskS2BUULv 
26178946, TheLydiaCruz, Lydia Cruz, 1209472980515880961, 5:56 AM - 24 Dec 2019， 1577195804000， 27， 211， 2.4K， Interviewer: You could go to any team you want as a free agent, why Seattle? Marshawn: (giggles) You said why? ... We got history there. We got unfinished business.MERRY CHRISTMAS YOU FILTHY ANIMALS 
1161143221, ThomasFox_4th, Bacon & Iggles🥓🦅Ate & Seven (New hope), 1209353291093725184, 10:01 PM - 23 Dec 2019， 1577167267000， 6， 36， 174， Marshawn Lynch showin' up to Seattle practice facilities like.... pic.twitter.com/7b3wBn0HPx 
1069148146972819456, OSf49ers, ourSF49ers, 1209621114487394304, 3:45 PM - 24 Dec 2019， 1577231122000， 2， 13， 68， Sunday has the perfect Hollywood script for the #49ers Vs #Seahawks 1. NFL Flexed the game to SNF making it the final game of the year2. Seattle brought back Marshawn Lynch3. SF is busting out the ‘94 throwback jerseys4. 1st place in the NFC & NFC West  is on the line pic.twitter.com/ieSuTdfQdF 
1207180889202937856, yanely71366023, yanely, 1209352626866802689, 9:58 PM - 23 Dec 2019， 1577167109000， 4， 53， 131， We want BTS in Seattle or Portland . Seattle was literally built for Namjoon #BTSinSeattlepic.twitter.com/XytbtfsX3M 
147000156, 12thmanTim, Tim, 1209333513444413440, 8:42 PM - 23 Dec 2019， 1577162552000， 6， 117， 603， Hey Seattle... We Got A Deal... #GoHawkspic.twitter.com/NjKcbC3YzI 
3896365273, da49erbaby, Dahlia (12-3) #BEATsea, 1209547333345693699, 10:52 AM - 24 Dec 2019， 1577213531000， 20， 35， 252， I just need ONE 49er fan to do this in Seattle... #disrespectfuldahliapic.twitter.com/BHt9fiXpWB 
66154578, hawkblogger, Brian Nemhauser, 1209361303115948032, 10:32 PM - 23 Dec 2019， 1577169178000， 19， 142， 1.6K， You could go anywhere. You're a free agent. Why Seattle?@MoneyLynch: "Why Seattle? We got history here. We got unfinished business."Yes. We. Do. 
23543561, NatStClair, Nathaniel St. Clair, 1209501312783507456, 7:49 AM - 24 Dec 2019， 1577202559000， 5， 50， 53， Washington has the nation’s most regressive tax system. The corporate elite enjoy a virtual tax haven. Yet this didn’t stop Jeff Bezos from threatening to move 7,000 jobs out of Seattle to avoid paying even a small part of Amazon’s fair share in taxes. https://www.counterpunch.org/2019/12/24/tax-amazon-strike-while-the-iron-is-hot/ … 
14352556, seattletimes, The Seattle Times, 1209335311924387841, 8:49 PM - 23 Dec 2019， 1577162981000， 29， 179， 853， BREAKING: Beast Mode is back! Marshawn Lynch comes out of retirement to re-sign with Seahawks.https://st.news/2ZimaBQ 
