id, x, y, freq, label
157, 7.151034, -12.587739, 98, freeman
158, -62.391197, -20.879606, 24, transorbital
159, -0.804980, -23.751802, 60, lobotomy
160, 7.921854, 64.427719, 12, procedure
161, 8.175838, -47.123245, 102, frances
162, 0.194730, -2.457644, 380, farmer
163, -8.419700, -24.730629, 174, second
164, -5.123261, -22.047987, 138, avenue
165, -5.630867, -32.138531, 96, south
166, -6.446584, -22.257990, 246, street
167, 8.752305, -16.610416, 92, garden
168, -25.446819, -61.622749, 52, allah
169, -7.227869, -4.621777, 182, chief
170, -3.433636, -42.338623, 48, frank
171, -5.369101, -42.933544, 60, ramon
172, -11.888960, -5.925859, 176, mayor
173, -46.832298, 10.158577, 16, dorm
174, -30.382109, -42.101696, 28, braman
175, -53.178406, 2.827851, 24, mineo
176, -4.091727, -49.975983, 42, katagiri
177, -0.269447, -24.687534, 70, peter
178, -40.312035, -54.805122, 34, wichern
179, -5.469299, -53.120266, 42, cover
180, -8.880714, -10.403344, 86, magazine
181, -13.691825, -9.953153, 350, dorian
182, -20.461914, -48.884537, 36, columns
183, -46.235626, -2.123461, 16, ladder
184, -12.111457, -5.073237, 206, letter
185, -1.456028, -10.456680, 634, women
186, -17.274876, -44.881382, 48, resource
187, -15.684682, -4.483276, 286, center
188, -53.642555, 9.921291, 14, laurie
189, -50.373783, -27.468887, 22, morton
190, -60.477383, -0.665457, 18, tamara
191, -40.584183, -39.717228, 26, turner
192, -41.524059, -33.039165, 24, cindy
193, -20.505770, -48.419819, 32, gipple
194, -16.566111, -3.277200, 1258, lesbian
195, -20.571438, 34.644421, 12, separatists
196, -33.800888, -44.810566, 38, target
197, -1.044714, -48.868095, 38, freeway
198, -19.782219, -54.850605, 44, faygele
199, -18.925100, -54.866550, 48, benmiriam
200, 0.381642, -29.909071, 58, patrick
201, -7.791754, -56.229401, 40, haggerty
202, 50.315094, 15.535944, 10, flier
203, -40.300446, -61.614567, 6, w
204, -6.272490, -37.242947, 70, students
205, -15.140656, -45.721519, 56, alliance
206, 8.412126, -16.410954, 96, dancing
207, 6.925189, -51.456276, 52, double
208, -23.352245, -67.900551, 46, header
209, 8.255759, -33.586193, 40, shelly
210, 0.407570, -36.793964, 58, disco
211, -5.123208, -35.909492, 62, union
212, 16.073141, -5.786757, 474, sexual
213, 3.015859, -38.063290, 96, minorities
214, -51.644859, 30.040516, 20, brass
215, 11.796425, -19.049824, 102, door
216, -7.175220, -6.134668, 112, tielsch
217, -11.802567, -9.605810, 122, charlie
218, -13.374425, -8.291641, 296, brydon
219, 3.010616, -12.227965, 160, campaign
220, -5.931188, -39.856853, 58, victory
221, 45.639198, -5.848949, 10, liberationist
222, -15.148130, -1.914771, 410, march
223, -15.682864, -2.628042, 248, pride
224, 5.404047, -31.529308, 58, road
225, -55.019558, -13.232141, 22, condom
226, -45.399239, -41.878845, 30, campaigns
227, 6.731194, -6.554496, 158, act
228, -64.926483, 24.076870, 16, marchers
229, -7.956961, -5.474791, 96, carol
230, -24.352133, -61.602039, 28, sterling
231, -42.785580, 29.859632, 16, betsy
232, -49.828056, -33.700806, 22, lieberman
233, -5.983917, -53.585640, 36, norm
234, -51.412739, 26.708895, 14, rice
235, 16.990343, 22.804281, 10, stamper
236, 16.515886, 47.674171, 6, bigot
237, 31.528774, 44.629749, 6, busters
238, -3.153649, -4.288000, 210, anderson
239, -61.975693, -22.575516, 22, eric
240, -9.120683, 60.875484, 10, ishino
241, 16.194729, -11.781565, 170, started
242, 1.851568, -13.323727, 242, work
243, -10.894453, -49.448772, 70, fall
244, 13.418800, -7.709773, 170, thought
245, -15.879358, -3.893981, 154, project
246, 20.056808, -8.005890, 2060, would
247, -23.120068, 57.892223, 14, quick
248, -60.761887, -15.539092, 30, maybe
249, 17.556890, -18.158796, 276, year
250, -19.365480, 52.804062, 10, narrative
251, 48.410187, -20.128939, 6, journalist
252, -45.034874, -49.617249, 30, passion
253, -54.440086, -4.563334, 12, sto
254, -49.558147, 2.639526, 12, ries
255, 2.871236, -29.481777, 84, real
256, 11.422392, -11.170989, 96, individuals
257, -51.346188, -7.583379, 16, struggles
258, 21.264500, 31.999071, 8, reflections
259, -9.379829, 51.702820, 10, bigger
260, 1.341957, -25.076912, 84, questions
261, -10.432643, -24.304819, 326, case
262, 4.288287, -39.724674, 84, question
263, -13.565486, -9.848705, 446, group
264, 2.688799, -8.640368, 158, citizens
265, 76.144501, -12.279868, 8, marginalized
266, 11.410134, -30.395952, 94, decades
267, 1.190651, -59.544746, 50, spent
268, -56.481983, -45.436604, 30, closeted
269, 0.202608, -9.913568, 472, public
270, -3.165876, -61.015514, 52, voice
271, 6.247722, -34.587730, 88, words
272, 47.750408, 29.783894, 10, reaching
273, 5.518921, -33.988258, 88, sense
274, 15.504972, -10.893141, 236, home
275, -63.648422, -30.104174, 32, figured
276, -57.262268, 24.910486, 16, historians
277, 5.624477, -10.389835, 212, already
278, 8.446790, -38.376858, 82, done
279, 2.820490, -37.645309, 86, jobs
280, -4.843919, -46.850948, 52, view
281, 11.518572, -10.266626, 154, important
282, -34.623653, -47.220898, 32, events
283, -40.454506, -53.776512, 42, available
284, -24.133968, -62.256554, 34, easy
285, 12.961913, -6.351382, 212, enough
286, -24.388039, -58.965313, 34, plot
287, -25.054253, -64.051399, 42, details
288, -16.298342, -68.424408, 28, gender
289, 11.053039, -12.911828, 100, living
290, -13.445386, 54.138676, 8, simultaneously
291, 54.645805, 25.110023, 6, midwestern
292, -53.587223, 28.795111, 8, raucous
293, -50.799274, -8.157790, 14, embrace
294, 17.469336, 48.798275, 4, alaskan
295, -57.504684, 10.958052, 12, inspired
296, -45.145504, -47.989166, 22, natural
297, 11.610632, -5.542718, 222, instead
298, -61.669456, -22.205326, 28, research
299, 9.508034, -13.106462, 136, took
